jid,vasp_energy,hf_energy,error
JVASP-14441,-4.52094,1.6554574852714978,136.6175504490548
JVASP-76308,-3.37838,4.414553294057313,230.6707147821534
JVASP-76515,-0.34456,4.414553294057313,1381.2146778666454
JVASP-13526,-2.77075,8.82910658811457,418.6540318727626
JVASP-27901,-3.75353,3.3109149705429743,188.20803271967918
JVASP-76516,-1.92191,1.6554574852714872,186.1360565932581
JVASP-76309,-1.88773,5.518191617571652,392.3189024686609
JVASP-76525,-2.47803,3.310914970543017,233.61077027086102
JVASP-6667,-2.82851,2.2072766470286727,178.03672771277712
JVASP-14431,-3.96292,2.207276647028678,155.69823884985513
